t,x_plan,y_plan,psi_plan,u_plan,v_plan,r_plan,tau_u_plan,tau_r_plan,T1_plan,T2_plan,x_real,y_real,psi_real,u_real,v_real,r_real,tau_u_applied,tau_r_applied,T1_applied,T2_applied
3.466667,0.560071,-0.015050,-0.044363,0.270329,0.000657,-0.001802,11.802128,0.011590,2.960524,2.940540,0.815045,-0.033155,-0.071609,0.402554,0.002563,-0.007418,11.802128,0.011590,2.960524,2.940540
3.500000,0.569120,-0.015430,-0.044421,0.273068,0.000639,-0.001669,11.910700,0.012319,2.988295,2.967055,0.828498,-0.034037,-0.071853,0.406309,0.002535,-0.007187,11.910700,0.012319,2.988295,2.967055
3.533333,0.578260,-0.015816,-0.044475,0.275818,0.000622,-0.001538,12.019519,0.013040,3.016121,2.993638,0.842076,-0.034931,-0.072088,0.410071,0.002506,-0.006957,12.019519,0.013040,3.016121,2.993638
3.566667,0.587491,-0.016206,-0.044524,0.278579,0.000604,-0.001409,12.128578,0.013754,3.044001,3.020288,0.855778,-0.035839,-0.072316,0.413840,0.002477,-0.006730,12.128578,0.013754,3.044001,3.020288
3.600000,0.596815,-0.016602,-0.044568,0.281351,0.000586,-0.001282,12.237867,0.014460,3.071933,3.047001,0.869606,-0.036760,-0.072537,0.417614,0.002447,-0.006505,12.237867,0.014460,3.071933,3.047001
3.633333,0.606231,-0.017003,-0.044609,0.284134,0.000568,-0.001157,12.347379,0.015160,3.099914,3.073776,0.883559,-0.037694,-0.072750,0.421395,0.002416,-0.006282,12.347379,0.015160,3.099914,3.073776
3.666667,0.615740,-0.017409,-0.044646,0.286927,0.000549,-0.001033,12.457105,0.015853,3.127943,3.100610,0.897637,-0.038642,-0.072956,0.425180,0.002384,-0.006060,12.457105,0.015853,3.127943,3.100610
3.700000,0.625342,-0.017820,-0.044678,0.289729,0.000531,-0.000911,12.567036,0.016539,3.156017,3.127501,0.911841,-0.039602,-0.073154,0.428971,0.002352,-0.005841,12.567036,0.016539,3.156017,3.127501
3.733333,0.635038,-0.018236,-0.044706,0.292542,0.000512,-0.000791,12.677165,0.017220,3.184136,3.154447,0.926171,-0.040575,-0.073345,0.432766,0.002319,-0.005624,12.677165,0.017220,3.184136,3.154447
3.766667,0.644827,-0.018658,-0.044731,0.295364,0.000494,-0.000672,12.787483,0.017894,3.212296,3.181445,0.940626,-0.041562,-0.073529,0.436566,0.002286,-0.005409,12.787483,0.017894,3.212296,3.181445
3.800000,0.654711,-0.019084,-0.044751,0.298196,0.000475,-0.000555,12.897983,0.018562,3.240497,3.208494,0.955208,-0.042562,-0.073706,0.440369,0.002252,-0.005196,12.897983,0.018562,3.240497,3.208494
3.833333,0.664689,-0.019515,-0.044768,0.301036,0.000456,-0.000440,13.008655,0.019224,3.268736,3.235591,0.969917,-0.043574,-0.073875,0.444175,0.002217,-0.004985,13.008655,0.019224,3.268736,3.235591
3.866667,0.674761,-0.019952,-0.044780,0.303886,0.000437,-0.000326,13.119492,0.019881,3.297012,3.262734,0.984751,-0.044600,-0.074038,0.447984,0.002182,-0.004775,13.119492,0.019881,3.297012,3.262734
3.900000,0.684929,-0.020393,-0.044789,0.306744,0.000418,-0.000214,13.230487,0.020533,3.325322,3.289921,0.999712,-0.045638,-0.074194,0.451796,0.002146,-0.004568,13.230487,0.020533,3.325322,3.289921
