t,tau_u_applied,tau_r_applied,T1_applied,T2_applied
35.133333333,102.999882983,-0.516212254,50.507225618,52.492657364
35.166666667,102.949918124,-0.524363133,50.466568421,52.483349703
35.200000000,102.898807881,-0.532536838,50.425294637,52.473513244
35.233333333,102.846554747,-0.540733919,50.383404452,52.463150295
35.266666667,102.793161273,-0.548954930,50.340898079,52.452263194
35.300000000,102.738630070,-0.557200422,50.297775761,52.440854309
35.333333333,102.682963809,-0.565470948,50.254037774,52.428926035
35.366666667,102.626165219,-0.573767059,50.209684420,52.416480800
35.400000000,102.568237089,-0.582089307,50.164716032,52.403521058
35.433333333,102.509182268,-0.590438244,50.119132973,52.390049294
35.466666667,102.449003662,-0.598814421,50.072935637,52.376068025
35.500000000,102.387704240,-0.607218390,50.026124446,52.361579794
35.533333333,102.325287028,-0.615650703,49.978699854,52.346587174
35.566666667,102.261755114,-0.624111911,49.930662343,52.331092771
35.600000000,102.197111641,-0.632602566,49.882012425,52.315099216
35.633333333,102.131359818,-0.641123217,49.832750645,52.298609173
35.666666667,102.064502908,-0.649674418,49.782877574,52.281625334
35.700000000,101.996544237,-0.658256718,49.732393815,52.264150421
35.733333333,101.927487190,-0.666870668,49.681300003,52.246187186
35.766666667,101.857335212,-0.675516819,49.629596801,52.227738411
35.800000000,101.786091808,-0.684195721,49.577284902,52.208806906
35.833333333,101.713760542,-0.692907925,49.524365031,52.189395511
35.866666667,101.640345040,-0.701653980,49.470837943,52.169507098
35.900000000,101.565848987,-0.710434437,49.416704422,52.149144566
35.933333333,101.490276129,-0.719249845,49.361965285,52.128310844
35.966666667,101.413630270,-0.728100754,49.306621378,52.107008892
36.000000000,101.335915277,-0.736987711,49.250673579,52.085241698
36.033333333,101.257135076,-0.745911267,49.194122795,52.063012282
36.066666667,101.177293656,-0.754871968,49.136969966,52.040323690
36.100000000,101.096395062,-0.763870364,49.079216062,52.017179000
36.133333333,101.014443404,-0.772907001,49.020862085,51.993581319
36.166666667,100.931442851,-0.781982426,48.961909067,51.969533784
36.200000000,100.847397634,-0.791097187,48.902358073,51.945039561
36.233333333,100.762312042,-0.800251828,48.842210197,51.920101845
36.266666667,100.676190429,-0.809446896,48.781466568,51.894723861
36.300000000,100.589037208,-0.818682935,48.720128345,51.868908863
36.333333333,100.500856853,-0.827960488,48.658196718,51.842660135
36.366666667,100.411653902,-0.837280100,48.595672912,51.815980990
36.400000000,100.321432950,-0.846642313,48.532558180,51.788874770
36.433333333,100.230198658,-0.856047669,48.468853812,51.761344846
36.466666667,100.137955746,-0.865496708,48.404561126,51.733394620
36.500000000,100.044708997,-0.874989971,48.339681478,51.705027520
36.533333333,99.950463257,-0.884527996,48.274216252,51.676247005
36.566666667,99.855223430,-0.894111321,48.208166867,51.647056563
36.600000000,99.758994487,-0.903740483,48.141534776,51.617459711
36.633333333,99.661781459,-0.913416018,48.074321465,51.587459994
36.666666667,99.563589438,-0.923138459,48.006528452,51.557060986
36.700000000,99.464423582,-0.932908339,47.938157292,51.526266290
36.733333333,99.364289109,-0.942726191,47.869209571,51.495079537
36.766666667,99.263191300,-0.952592544,47.799686912,51.463504388
36.800000000,99.161135500,-0.962507926,47.729590970,51.431544530
36.833333333,99.058127117,-0.972472864,47.658923436,51.399203681
36.866666667,98.954171621,-0.982487882,47.587686037,51.366485584
36.900000000,98.849274545,-0.992553505,47.515880532,51.333394013
36.933333333,98.743441489,-1.002670253,47.443508720,51.299932769
36.966666667,98.636678111,-1.012838645,47.370572432,51.266105680
37.000000000,98.528990138,-1.023059197,47.297073536,51.231916602
37.033333333,98.420383358,-1.033332425,47.223013938,51.197369420
37.066666667,98.310863623,-1.043658841,47.148395578,51.162468045
37.100000000,98.200436850,-1.054038954,47.073220436,51.127216414
37.133333333,98.089109019,-1.064473272,46.997490525,51.091618494
37.166666667,97.976886177,-1.074962299,46.921207899,51.055678278
37.200000000,97.863774433,-1.085506535,46.844374649,51.019399784
37.233333333,97.749779962,-1.096106481,46.766992903,50.982787059
37.266666667,97.634909004,-1.106762630,46.689064829,50.945844175
37.300000000,97.519167862,-1.117475475,46.610592632,50.908575230
37.333333333,97.402562907,-1.128245506,46.531578558,50.870984349
37.366666667,97.285100574,-1.139073206,46.452024892,50.833075682
37.400000000,97.166787362,-1.149959056,46.371933957,50.794853405
37.433333333,97.047629840,-1.160903536,46.291308120,50.756321720
37.466666667,96.927634637,-1.171907117,46.210149785,50.717484852
37.500000000,96.806808452,-1.182970270,46.128461400,50.678347053
37.533333333,96.685158050,-1.194093458,46.046245452,50.638912598
37.566666667,96.562690259,-1.205277143,45.963504471,50.599185788
37.600000000,96.439411977,-1.216521779,45.880241029,50.559170947
37.633333333,96.315330167,-1.227827817,45.796457743,50.518872424
37.666666667,96.190451858,-1.239195703,45.712157269,50.478294589
37.700000000,96.064784147,-1.250625877,45.627342311,50.437441837
37.733333333,95.938334199,-1.262118773,45.542015613,50.396318586
37.766666667,95.811109243,-1.273674820,45.456179967,50.354929276
37.800000000,95.683116578,-1.285294442,45.369838209,50.313278369
37.833333333,95.554363570,-1.296978054,45.282993219,50.271370351
37.866666667,95.424857652,-1.308726068,45.195647926,50.229209726
37.900000000,95.294606325,-1.320538887,45.107805304,50.186801021
37.933333333,95.163617158,-1.332416907,45.019468373,50.144148785
37.966666667,95.031897789,-1.344360519,44.930640204,50.101257585
38.000000000,94.899455923,-1.356370105,44.841323914,50.058132009
38.033333333,94.766299334,-1.368446039,44.751522668,50.014776665
38.066666667,94.632435864,-1.380588689,44.661239684,49.971196180
38.100000000,94.497873425,-1.392798413,44.570478225,49.927395200
38.133333333,94.362619996,-1.405075562,44.479241610,49.883378387
38.166666667,94.226683628,-1.417420477,44.387533205,49.839150423
38.200000000,94.090072438,-1.429833490,44.295356430,49.794716007
38.233333333,93.952794613,-1.442314925,44.202714758,49.750079855
38.266666667,93.814858411,-1.454865096,44.109611713,49.705246697
38.300000000,93.676272158,-1.467484306,44.016050876,49.660221282
38.333333333,93.537044251,-1.480172848,43.922035880,49.615008372
38.366666667,93.397183156,-1.492931006,43.827570413,49.569612743
38.400000000,93.256697410,-1.505759051,43.732658222,49.524039188
38.433333333,93.115595618,-1.518657245,43.637303107,49.478292511
38.466666667,92.973886458,-1.531625836,43.541508929,49.432377529
38.500000000,92.831578676,-1.544665062,43.445279604,49.386299072
38.533333333,92.688681090,-1.557775147,43.348619109,49.340061981
38.566666667,92.545202589,-1.570956304,43.251531479,49.293671109
38.600000000,92.401152131,-1.584208732,43.154020812,49.247131318
38.633333333,92.256538746,-1.597532616,43.056091266,49.200447480
38.666666667,92.111371536,-1.610928128,42.957747059,49.153624476
38.700000000,91.965659671,-1.624395427,42.858992476,49.106667195
38.733333333,91.819412397,-1.637934654,42.759831863,49.059580533
38.766666667,91.672639025,-1.651545938,42.660269632,49.012369394
38.800000000,91.525348944,-1.665229391,42.560310259,48.965038685
38.833333333,91.377551610,-1.678985109,42.459958288,48.917593322
38.866666667,91.229256551,-1.692813172,42.359218330,48.870038221
38.900000000,91.080473369,-1.706713643,42.258095063,48.822378305
38.933333333,90.931211735,-1.720686568,42.156593237,48.774618498
38.966666667,90.781481394,-1.734731975,42.054717668,48.726763725
39.000000000,90.631292161,-1.748849873,41.952473248,48.678818913
39.033333333,90.480653924,-1.763040253,41.849864936,48.630788988
39.066666667,90.329576643,-1.777303088,41.746897768,48.582678875
39.100000000,90.178070348,-1.791638328,41.643576852,48.534493497
39.133333333,90.026145145,-1.806045905,41.539907370,48.486237775
39.166666667,89.873811208,-1.820525730,41.435894584,48.437916624
39.200000000,89.721078785,-1.835077693,41.331543829,48.389534956
