t,tau_u_applied,tau_r_applied,T1_applied,T2_applied
73.133333333,14.215784182,-0.339674860,6.454671207,7.761112975
73.166666667,14.221892180,-0.338409861,6.460157896,7.761734284
73.200000000,14.227988433,-0.337150279,6.465628296,7.762360137
73.233333333,14.234071338,-0.335896211,6.471081417,7.762989920
73.266666667,14.240139295,-0.334647751,6.476516281,7.763623014
73.300000000,14.246190710,-0.333404991,6.481931910,7.764258800
73.333333333,14.252223992,-0.332168023,6.487327336,7.764896656
73.366666667,14.258237554,-0.330936934,6.492701595,7.765535959
73.400000000,14.264229813,-0.329711812,6.498053729,7.766176084
73.433333333,14.270199191,-0.328492742,6.503382785,7.766816407
73.466666667,14.276144116,-0.327279806,6.508687816,7.767456299
73.500000000,14.282063017,-0.326073085,6.513967884,7.768095133
73.533333333,14.287954331,-0.324872659,6.519222052,7.768732280
73.566666667,14.293816501,-0.323678607,6.524449392,7.769367109
73.600000000,14.299647971,-0.322491003,6.529648981,7.769998990
73.633333333,14.305447194,-0.321309921,6.534819902,7.770627292
73.666666667,14.311212626,-0.320135436,6.539961244,7.771251382
73.700000000,14.316942732,-0.318967617,6.545072103,7.771870629
73.733333333,14.322635978,-0.317806533,6.550151579,7.772484399
73.766666667,14.328290840,-0.316652253,6.555198780,7.773092060
73.800000000,14.333905798,-0.315504842,6.560212818,7.773692980
73.833333333,14.339479337,-0.314364365,6.565192812,7.774286525
73.866666667,14.345009952,-0.313230885,6.570137889,7.774872063
73.900000000,14.350496140,-0.312104464,6.575047178,7.775448962
73.933333333,14.355936407,-0.310985161,6.579919817,7.776016590
73.966666667,14.361329266,-0.309873035,6.584754950,7.776574316
74.000000000,14.366673235,-0.308768143,6.589551726,7.777121509
74.033333333,14.371966840,-0.307670542,6.594309301,7.777657539
74.066666667,14.377208613,-0.306580285,6.599026836,7.778181777
74.100000000,14.382397095,-0.305497425,6.603703500,7.778693595
74.133333333,14.387530831,-0.304422014,6.608338465,7.779192366
74.166666667,14.392608378,-0.303354104,6.612930913,7.779677465
74.200000000,14.397628295,-0.302293742,6.617480029,7.780148266
74.233333333,14.402589153,-0.301240977,6.621985006,7.780604147
74.266666667,14.407489529,-0.300195855,6.626445043,7.781044486
74.300000000,14.412328007,-0.299158423,6.630859344,7.781468663
74.333333333,14.417103179,-0.298128724,6.635227120,7.781876060
74.366666667,14.421813648,-0.297106803,6.639547588,7.782266059
74.400000000,14.426458020,-0.296092700,6.643819972,7.782638048
74.433333333,14.431034914,-0.295086457,6.648043501,7.782991413
74.466666667,14.435542954,-0.294088114,6.652217411,7.783325543
74.500000000,14.439980775,-0.293097711,6.656340943,7.783639832
74.533333333,14.444347018,-0.292115285,6.660413346,7.783933672
74.566666667,14.448640334,-0.291140872,6.664433874,7.784206460
74.600000000,14.452859383,-0.290174510,6.668401787,7.784457596
74.633333333,14.457002834,-0.289216233,6.672316353,7.784686481
74.666666667,14.461069363,-0.288266076,6.676176843,7.784892520
74.700000000,14.465057658,-0.287324071,6.679982538,7.785075120
74.733333333,14.468966414,-0.286390252,6.683732723,7.785233691
74.766666667,14.472794335,-0.285464649,6.687426689,7.785367646
